Nations,Feeling of Responsibility,Obedience,Hard Work,Imagination,Independence,Perseverance,Tolerance,Unselfishness
Argentina (1.002),72.1,44.6,57.7,25.2,44,23.5,71.5,8.7
Brazil (1.5),77.9,56.6,61.1,26.7,28.5,31.4,64.4,40.1
Bulgaria (1.001),73.5,24.7,87,17.3,46.1,56.1,53,49.6
Canada (2.164),71.8,29.9,54.1,33.7,58.1,48.7,82.6,47
Chile (1),82.8,51.9,27.2,25.7,40.3,44.6,79.5,31.8
China (1.991),67.2,13.8,83.4,25.3,69.8,24,64.7,30.8
Colombia (3.025),82.9,59.2,19,17.8,33.5,20.1,84.1,53.4
Germany (2.064),85.1,15.8,26,39.6,77.6,64.2,74.6,6.8
Hong Kong (1.252),26.4,2.2,18.6,2.4,23.9,5.9,14.2,1.8
Hungary (1.007),83.3,30.8,41.3,17.9,81.4,51.5,76.1,32.4
Indian Union (2.001),68,55.9,81.3,25.4,66.9,40.7,55.8,34.2
Indonesia (2.015),83.9,53.3,59.4,18.2,82,41.5,59.1,32.6
Iran IR (2.667),81.1,32.4,68.8,17.6,63.1,30.3,64.5,32.5
Italy (1.012),87.1,26.1,39.3,14.6,58.5,44.2,73.9,43.9
Japan (1.096),90.6,5.1,32.4,30.8,80,67.2,74.5,50.3
Jordan (1.2),59.8,64.9,42.6,17.8,42.8,30.8,74.6,56
Korea Republic (1.2),90.2,13.5,72.4,41.1,67.6,44.9,56.9,11.6
Mexico (1.56),77.8,58.3,24.3,24.6,40.8,36.3,78.1,47.6
New Zealand (954),63,24.4,41.1,35.1,53.2,48.7,82.5,38.5
Peru (1.5),73.3,53.9,54.2,12.8,27.5,17.5,66.2,59.8
Romania (1.776),68.8,17.5,83.3,18.1,29.1,30.3,58.6,23.2
Viet Nam (1.495),75.3,32,88.9,16.4,59.3,62.5,50.4,33.4
South Africa (2.988),54.8,46.8,70.7,15.6,58.8,32.9,77.9,30.6
Spain (1.2),69.7,36.9,62.6,20.4,31.4,29.6,71.7,33.5
Sweden (1.003),91.4,15.6,10.6,57.1,77.4,48.7,93.6,34.9
Switzerland (1.241),90.5,18.4,20.3,48.1,77.7,72.4,91.7,14.3
Turkey (1.346),74.9,45.8,78.8,22.3,39.2,36.7,70.1,31.3
Ukraine (1),65.5,49.9,76.8,28,28.1,48.5,56.1,13.2
USA (1.249),72.2,28.3,61.7,31.7,53.8,40.2,78.3,37.6
Uruguay (1),79.5,38.5,22.3,32.2,49.2,39,81.7,61.2
TOTAL (45.509),74.3,36.4,53.7,24.3,53.6,38.9,69.5,34.4
